clusture_0,clusture_1,clusture_2,clusture_3,clusture_4,clusture_5,clusture_6,clusture_7,clusture_8,clusture_9,clusture_10,clusture_11,clusture_12,clusture_13,clusture_14,clusture_15,clusture_18,clusture_19,clusture_20,clusture_21,clusture_22,clusture_23,clusture_25,clusture_26,clusture_27,clusture_28,clusture_29,clusture_30,clusture_31,clusture_32,clusture_33,clusture_34,clusture_37,clusture_39,clusture_40,clusture_41,clusture_45,clusture_46,clusture_47,clusture_48,clusture_49,clusture_50,clusture_51,clusture_52,clusture_53,clusture_54,clusture_55,clusture_56,clusture_57,clusture_58,clusture_60,clusture_61,clusture_62,clusture_63,clusture_65,clusture_67,clusture_68,clusture_69,clusture_70,clusture_71,clusture_72,clusture_73,clusture_74,clusture_75,clusture_76,clusture_78,clusture_81,clusture_82,clusture_83,clusture_84,clusture_85,clusture_87,clusture_88,clusture_89,clusture_90,clusture_91,clusture_93,clusture_95,clusture_96,clusture_97,clusture_98,clusture_99,clusture_100,clusture_101,clusture_102,clusture_103,clusture_104,clusture_105,clusture_106,clusture_107,clusture_108,clusture_109,clusture_110,clusture_113,clusture_114,clusture_116,clusture_118,clusture_119,clusture_122,clusture_125,clusture_129,clusture_130,clusture_132,clusture_134,clusture_136,clusture_141,clusture_144,clusture_145,clusture_146,clusture_147,clusture_149,clusture_150,clusture_152,clusture_153,clusture_154,clusture_155,clusture_158,clusture_159,clusture_160,clusture_161,clusture_162,clusture_163,clusture_164,clusture_166,clusture_167,clusture_168,clusture_169,clusture_170,clusture_172,clusture_173,clusture_174,clusture_176,clusture_180,clusture_182,clusture_183,clusture_184,clusture_187,clusture_188,clusture_190,clusture_191,clusture_195,clusture_196,clusture_197,clusture_200,clusture_201,clusture_203,clusture_204,clusture_206,clusture_209,clusture_211,clusture_212,clusture_213,clusture_214,clusture_217,clusture_218,clusture_219,clusture_221,clusture_222,clusture_225,clusture_226,clusture_227,clusture_229,clusture_231,clusture_233,clusture_237,clusture_238,clusture_239,clusture_240,clusture_241,clusture_242,clusture_247,clusture_249,clusture_250,clusture_251,clusture_252,clusture_253,clusture_254,clusture_256,clusture_257,clusture_258,clusture_259,clusture_264,clusture_265,clusture_266,clusture_267,clusture_268,clusture_269,clusture_271,clusture_272,clusture_273,clusture_274,clusture_275,clusture_281,clusture_283,clusture_285,clusture_286,clusture_293,clusture_294,clusture_296,clusture_297,clusture_299,clusture_300,clusture_301,clusture_302,clusture_308,clusture_309,clusture_310,clusture_311,clusture_313,clusture_315,clusture_316,clusture_317,clusture_319,clusture_320,clusture_322,clusture_327,clusture_328,clusture_329,clusture_331,clusture_335,clusture_336,clusture_340,clusture_341,clusture_345,clusture_346
HD_10180_c,,,,,HD_191939_d,HD_183263_c,,,,,HD_219077_b,HD_166724_b,,,HD_106315_c,,,,,,,HD_80913_b,,,,,,,HD_139357_b,HD_139357_b,,,HD_89839_b,HD_115954_b,HD_89839_b,,GJ_143_b,,HD_86226_c,HD_139357_b,,HD_183263_c,GJ_3634_b,HD_81040_b,,HD_219077_b,,,EPIC_211822797_b,HD_110082_b,,,,BD-00_4475_b,HD_86226_c,,HD_106252_b,,,,HD_110082_b,,HD_108236_b,,,HD_260655_c,,,,,,,,,,,HD_219134_c,,,,,,,,,,,,,,,,,,,,,HD_105618_c,,GJ_1214_b,HD_89839_b,HD_106315_c,,HD_139357_b,GJ_1214_b,HD_110082_b,HD_10180_c,HD_110082_b,HD_10180_c,HD_112570_b,HD_10180_c,,,HD_136352_b,HD_11506_d,,,HD_110082_b,HD_120084_b,,,HD_125271_b,,,,HD_191939_d,,,HD_106315_c,,HD_89839_b,,,HD_10180_c,HD_110082_b,,,,HD_191939_d,,,,HD_110082_b,HD_139357_b,HD_191939_d,EPIC_211822797_b,HD_16175_b,,HD_168863_b,HD_110082_b,,HD_171238_b,HD_136352_b,HD_86226_c,HD_10180_c,,,,,,,,,HD_136352_b,HD_110082_b,,,,,GJ_1214_b,,,,,,HD_106315_c,,HD_260655_c,HD_86226_c,,,,HD_110082_b,,HD_191939_d,HD_139357_b,HAT-P-49_b,HAT-P-49_b,HAT-P-49_b,,HD_110082_b,,EPIC_211822797_b,HD_260655_c,,,,HD_10180_c,,,HD_110082_b,EPIC_211822797_b,HD_139357_b,,,,,,HD_219134_c,HD_260655_c,,GJ_1214_b,,BD-00_4475_b,HD_10180_d,HD_183263_c,HD_80606_b,,,,GJ_1214_b,HD_191939_d,,HD_81817_b
GJ_1214_b,,,,,HD_260655_c,HD_190984_b,,,,,HD_149806_b,BD-00_4475_b,,,BD+63_1405_b,,,,,,,BD-00_4475_b,,,,,,,HD_89839_b,HD_89839_b,,,EPIC_249893012_b,HD_30177_c,HD_111998_b,,HD_105618_c,,GJ_1132_b,HD_89839_b,,HD_81040_b,HD_190984_b,HD_68402_b,,HD_149806_b,,,HD_10180_d,GJ_680_b,,,,HD_160691_e,GJ_1132_b,,HAT-P-11_b,,,,HD_136352_b,,GJ_876_d,,,HD_219134_c,,,,,,,,,,,HD_191939_b,,,,,,,,,,,,,,,,,,,,,HD_66428_b,,HAT-P-26_b,HD_111998_b,HD_136352_b,,HD_89839_b,HD_10180_c,HD_106315_c,GJ_1214_b,HD_106315_c,GJ_1214_b,HD_260655_c,GJ_1214_b,,,HD_11506_b,HAT-P-26_b,,,HD_106315_c,HD_106315_c,,,HD_106315_c,,,,HD_260655_c,,,HD_135872_b,,HD_111998_b,,,GJ_1214_b,HD_136352_b,,,,HD_260655_c,,,,HD_106315_c,HD_28185_c,HD_260655_c,HD_10180_d,HD_106315_c,,,HD_106315_c,,HD_106315_c,HD_108236_b,GJ_1132_b,GJ_1214_b,,,,,,,,,HD_108236_b,HD_106315_c,,,,,HAT-P-26_b,,,,,,HD_213240_b,,HD_219134_c,GJ_1132_b,,,,HD_106315_c,,HD_260655_c,HD_89839_b,51_Eri_b,51_Eri_b,51_Eri_b,,HD_106315_c,,HD_10180_d,HD_219134_c,,,,GJ_1214_b,,,HD_106315_c,HD_10180_d,HD_5278_b,,,,,,,HD_219134_c,,HAT-P-26_b,,HD_160691_e,HD_75302_b,HD_81040_b,HD_191939_b,,,,HAT-P-26_b,HD_260655_c,,
HAT-P-26_b,,,,,HD_219134_c,HATS-22_b,,,,,HD_153557_d,HD_160691_e,,,HD_136352_b,,,,,,,HD_160691_e,,,,,,,HD_32963_b,HD_111998_b,,,HD_111998_b,EPIC_249893012_c,HD_17156_b,,HD_139357_b,,,HD_32963_b,,HD_204313_b,HD_81040_b,HD_93351_c,,HD_153557_d,,,,HD_106315_c,,,,HD_194490_b,,,HD_86264_b,,,,HD_108236_b,,HAT-P-16_b,,,HD_191939_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_139357_b,,EPIC_211822797_b,HD_114082_b,HD_108236_b,,HD_32963_b,HAT-P-26_b,HD_110537_b,HAT-P-26_b,HD_136352_b,HAT-P-26_b,HD_219134_c,HAT-P-26_b,,,HD_108236_b,EPIC_211822797_b,,,HD_136352_b,HD_136352_b,,,HD_136352_b,,,,HD_219134_c,,,HD_136352_b,,HD_114082_b,,,HAT-P-26_b,HD_108236_b,,,,HD_219134_c,,,,HD_136352_b,HD_89839_b,HD_219134_c,,HD_136352_b,,,HD_136352_b,,HD_136352_b,GJ_876_d,,HAT-P-26_b,,,,,,,,,HD_196050_b,HD_136352_b,,,,,EPIC_211822797_b,,,,,,HD_136352_b,,HD_216437_b,,,,,HD_136352_b,,HD_219134_c,HD_111998_b,HD_209458_b,HD_209458_b,HD_209458_b,,HD_136352_b,,,HD_191939_b,,,,HAT-P-26_b,,,HD_136352_b,,HD_89839_b,,,,,,,HD_70642_b,,EPIC_211822797_b,,HD_80913_b,,HD_204313_b,,,,,EPIC_211822797_b,HD_219134_c,,
EPIC_211822797_b,,,,,HD_191939_b,HD_81040_b,,,,,HD_106252_b,HD_80913_b,,,HD_108236_b,,,,,,,HD_194490_b,,,,,,,HD_111998_b,HD_17156_b,,,HD_17156_b,HD_132406_b,HD_114082_b,,HD_66428_b,,,HD_111998_b,,DENIS-P_J082303.1-491201_b,HD_204313_b,HD_190984_b,,HD_106252_b,,,,HD_136352_b,,,,HD_156098_c,,,HD_165131_b,,,,GJ_876_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_219828_c,,HD_106270_b,HD_204313_e,HD_106515_A_b,,HD_111998_b,EPIC_211822797_b,HD_136352_b,EPIC_211822797_b,HD_108236_b,EPIC_211822797_b,HD_191939_b,EPIC_211822797_b,,,GJ_876_d,HD_10180_d,,,HD_108236_b,HD_108236_b,,,HD_108236_b,,,,HD_191939_b,,,HD_108236_b,,HD_204313_e,,,EPIC_211822797_b,GJ_876_d,,,,HD_191939_b,,,,HD_108236_b,HD_32963_b,HD_191939_b,,HD_108236_b,,,HD_108236_b,,HD_108236_b,,,EPIC_211822797_b,,,,,,,,,GJ_876_d,HD_108236_b,,,,,HD_10180_f,,,,,,HD_108236_b,,HD_191939_b,,,,,HD_108236_b,,HD_191939_b,HD_17156_b,CoRoT-17_b,CoRoT-17_b,CoRoT-17_b,,HD_108236_b,,,,,,,EPIC_211822797_b,,,HD_108236_b,,HD_111998_b,,,,,,,HD_191939_b,,HD_73256_c,,HD_194490_b,,CoRoT-20_b,,,,,HD_10180_f,HD_191939_b,,
HD_10180_f,,,,,,HD_204313_b,,,,,HD_86264_b,HD_194490_b,,,GJ_876_d,,,,,,,HD_156098_c,,,,,,,HD_17156_b,HD_114082_b,,,HD_114082_b,HD_105618_c,HD_204313_e,,HD_219828_c,,,HD_17156_b,,HD_80869_b,CoRoT-20_b,HD_13931_b,,HD_86264_b,,,,HD_108236_b,,,,HATS-41_b,,,HD_81817_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_86065_b,,HD_10180_d,HD_206893_b,GJ_876_d,,HD_17156_b,HD_10180_f,HD_108236_b,HD_10180_f,GJ_876_d,HD_10180_f,,HD_10180_f,,,,,,,GJ_876_d,GJ_876_d,,,GJ_876_d,,,,,,,GJ_876_d,,HD_206893_b,,,HD_10180_f,,,,,,,,,GJ_876_d,HD_111998_b,,,GJ_876_d,,,GJ_876_d,,GJ_876_d,,,HD_10180_f,,,,,,,,,,GJ_876_d,,,,,HD_10180_d,,,,,,GJ_876_d,,,,,,,GJ_876_d,,HD_88986_b,HD_114082_b,HD_30562_b,HD_23472_e,HD_30562_b,,GJ_876_d,,,,,,,HD_10180_f,,,HD_457_b,,HD_17156_b,,,,,,,,,HD_10180_d,,HD_156098_c,,DENIS-P_J082303.1-491201_b,,,,,HD_10180_d,,,
HD_10180_d,,,,,,CoRoT-20_b,,,,,HAT-P-20_b,HD_156098_c,,,,,,,,,,HATS-41_b,,,,,,,HD_114082_b,HD_204313_e,,,HD_204313_e,HD_28185_c,HD_206893_b,,HD_86065_b,,,HD_114082_b,,HD_62364_c,DENIS-P_J082303.1-491201_b,HAT-P-31_b,,HD_88072_b,,,,GJ_876_d,,,,GJ_876_e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_14067_b,,HD_10180_f,HD_106315_b,,,HD_114082_b,HD_10180_d,GJ_876_d,HD_10180_d,,HD_10180_d,,HD_10180_d,,,,,,,,,,,,,,,,,,,,HD_30177_c,,,HD_10180_d,,,,,,,,,,HD_17156_b,,,,,,,,,,,HD_10180_d,,,,,,,,,,,,,,,HD_206893_c,,,,,,,,,,,,,HAT-P-18_b,,,HD_204313_e,HD_125390_b,HD_30562_b,HD_125390_b,,,,,,,,,HD_10180_d,,,GJ_876_d,,HD_114082_b,,,,,,,,,HD_10180_f,,HATS-41_b,,HD_80869_b,,,,,HD_8673_b,,,
,,,,,,DENIS-P_J082303.1-491201_b,,,,,HD_88072_b,HATS-41_b,,,,,,,,,,HD_155918_c,,,,,,,HD_204313_e,HD_206893_b,,,HD_206893_b,HD_139357_b,HD_30177_c,,HD_14067_b,,,HD_204313_e,,HD_68402_b,HD_80869_b,BD-14_3065_b,,HD_74156_c,,,,HAT-P-18_b,,,,HD_155918_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_30177_c,,,HD_204313_e,,HAT-P-18_b,,,,,,,,,,,,,,,,,,,,,,,,,HD_66428_b,,,,,,,,,,,,,HD_114082_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_206893_b,HD_191806_b,HD_125390_b,HD_191806_b,,,,,,,,,,,,HAT-P-18_b,,HD_204313_e,,,,,,,,,,,HD_73344_b,,HD_62364_c,,,,,,,,
,,,,,,HD_80869_b,,,,,HD_74156_c,HD_155918_c,,,,,,,,,,HAT-P-2_b,,,,,,,HD_206893_b,HD_30177_c,,,HD_30177_c,HD_66428_b,HD_66428_b,,,,,HD_206893_b,,HD_26161_b,HD_62364_c,GJ_367_b,,HD_165131_b,,,,,,,,HAT-P-2_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_66428_b,,,HD_206893_b,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_219828_c,,,,,,,,,,,,,HD_204313_e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_30177_c,HD_29985_b,HD_191806_b,HD_29985_b,,,,,,,,,,,,,,HD_206893_b,,,,,,,,,,,HD_155918_c,,HD_68402_b,,,,,,,,
,,,,,,HD_62364_c,,,,,HD_165131_b,HAT-P-2_b,,,,,,,,,,,,,,,,,HD_30177_c,CoRoT-7_c,,,HD_66428_b,HD_219828_c,HD_219828_c,,,,,HD_30177_c,,HD_43197_c,HD_68402_b,HAT-P-33_b,,HD_81817_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_219828_c,,,HD_30177_c,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_86065_b,,,,,,,,,,,,,HD_206893_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_66428_b,GJ_463_b,HD_29985_b,GJ_463_b,,,,,,,,,,,,,,HD_30177_c,,,,,,,,,,,HAT-P-2_b,,HD_26161_b,,,,,,,,
,,,,,,HD_68402_b,,,,,HD_81817_b,,,,,,,,,,,,,,,,,,HD_66428_b,HD_66428_b,,,HD_219828_c,HD_86065_b,HD_86065_b,,,,,HD_66428_b,,,HD_26161_b,DENIS-P_J082303.1-491201_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_86065_b,,,HD_66428_b,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_10697_b,,,,,,,,,,,,,HD_30177_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_219828_c,HD_154345_b,GJ_463_b,HD_154345_b,,,,,,,,,,,,,,HD_66428_b,,,,,,,,,,,,,HD_43197_c,,,,,,,,
,,,,,,HD_26161_b,,,,,,,,,,,,,,,,,,,,,,,HD_27631_b,HD_219828_c,,,HD_86065_b,HD_14067_b,HD_10697_b,,,,,HD_27631_b,,,HD_43197_c,HD_80869_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_10697_b,,,HD_219828_c,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_115954_b,,,,,,,,,,,,,HD_66428_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_86065_b,HD_30177_b,HD_154345_b,HD_30177_b,,,,,,,,,,,,,,HD_219828_c,,,,,,,,,,,,,,,,,,,,,
,,,,,,HD_43197_c,,,,,,,,,,,,,,,,,,,,,,,HD_219828_c,HD_86065_b,,,HD_10697_b,,EPIC_249893012_d,,,,,GJ_3090_b,,,HD_13931_b,HD_62364_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_115954_b,,,HD_86065_b,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_105618_c,,,,,,,,,,,,,HD_219828_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_23472_b,HD_23472_d,HD_30177_b,HD_56957_b,,,,,,,,,,,,,,HD_86065_b,,,,,,,,,,,,,,,,,,,,,
,,,,,,HD_13931_b,,,,,,,,,,,,,,,,,,,,,,,HD_86065_b,HD_10697_b,,,HD_115954_b,,HD_115954_b,,,,,HD_219828_c,,,,HD_26161_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_105618_c,,,HD_10697_b,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_136352_c,,,,,,,,,,,,,HD_86065_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_10697_b,HD_12235_c,HD_56957_b,HD_12235_c,,,,,,,,,,,,,,HD_10697_b,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_10697_b,HD_115954_b,,,HD_105618_c,,HD_105618_c,,,,,HD_86065_b,,,,HD_175167_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_14067_b,,,HD_108236_c,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_14067_b,,,,,,,,,,,,,HD_10697_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_115954_b,HD_56957_b,HD_12235_c,HD_62364_b,,,,,,,,,,,,,,HD_115954_b,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_115954_b,HD_105618_c,,,HD_14067_b,,HD_14067_b,,,,,HD_10697_b,,,,HD_204313_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_115954_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_115954_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_105618_c,HD_62364_b,HD_62364_b,GJ_876_c,,,,,,,,,,,,,,HD_105618_c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CoRoT-7_b,HD_14067_b,,,,,,,,,,HD_115954_b,,,,GJ_317_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_105618_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_105618_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_14067_b,HAT-P-12_b,GJ_876_c,HD_136118_b,,,,,,,,,,,,,,HD_14067_b,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_105618_c,,,,,,,,,,,HD_105618_c,,,,HD_88133_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_108341_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_108341_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GJ_876_c,HD_136118_b,HD_169830_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_108341_b,,,,,,,,,,,HD_108341_b,,,,CoRoT-20_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_14067_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_14067_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_136118_b,HD_169830_c,HD_125612_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_14067_b,,,,,,,,,,,HD_14067_b,,,,HD_43197_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_169830_c,HD_125612_d,HD_38529_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_125612_d,HD_38529_c,HD_202206_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_38529_c,HD_202206_c,HAT-P-32_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_202206_c,HAT-P-32_b,HD_126614_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAT-P-32_b,HD_126614_b,HD_23472_f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_126614_b,HD_25015_b,HD_25015_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_25015_b,HD_25912_c,HD_25912_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_25912_c,HD_167677_b,HD_167677_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD_167677_b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
